league,year,name,team,pa,obp,slg,iso,so,bb,woba,wrc_plus,z_obp,z_iso,combo_z,combo_p33,combo_p25,combo_p40
KBO,2021,이정후,키움,544,0.438,0.522,0.1616379310344827,37,62,0.247219152854512,35.1607294138607,2.1984643442242047,0.3081190333103494,0.3081190333103494,False,False,True
KBO,2021,전준우,롯데,619,0.405,0.469,0.1213768115942029,71,53,0.2272799352750809,22.072723375559683,1.15984730779591,-0.36181690556275486,-0.36181690556275486,False,False,False
KBO,2021,강백호,KT,627,0.45,0.521,0.1744186046511628,85,103,0.2490226904376012,36.34456276558287,2.576143266561767,0.5207865571610419,0.5207865571610419,True,False,True
KBO,2021,홍창기,LG,651,0.456,0.408,0.0801526717557251,95,109,0.2228284389489954,19.15078270445816,2.764982727730548,-1.047777286468021,-1.047777286468021,False,False,False
KBO,2021,박건우,두산,525,0.4,0.441,0.1157205240174672,72,50,0.2179942638623327,15.97765354468044,1.002481090155259,-0.455936253979719,-0.455936253979719,False,False,False
KBO,2021,양의지,NC,570,0.414,0.581,0.25625,60,69,0.257741592920354,42.06760821042233,1.4431064995490799,1.8824425030081953,1.4431064995490799,True,True,True
KBO,2021,손아섭,롯데,610,0.39,0.397,0.077490774907749,67,61,0.2037947019867549,6.657129766430294,0.687748654873957,-1.0920706491172498,-1.0920706491172498,False,False,False
KBO,2021,페르난데스,두산,617,0.391,0.443,0.1277777777777777,35,65,0.2161123778501628,14.742392662825116,0.7192218984020872,-0.2553062732329951,-0.2553062732329951,False,False,False
KBO,2021,김선빈,KIA,564,0.375,0.401,0.0938123752495009,39,56,0.2020267379679144,5.496646730327938,0.2156500019520041,-0.8204829038961463,-0.8204829038961463,False,False,False
KBO,2021,안치홍,롯데,490,0.379,0.458,0.1520190023752969,58,52,0.2180848861283643,16.037137562059854,0.3415429760645249,0.14806223181471087,0.14806223181471087,False,False,True
KBO,2021,구자욱,삼성,610,0.361,0.519,0.2136279926335175,98,48,0.2295676567656765,23.57437270375369,-0.22497540744181863,1.1732219219939095,-0.22497540744181863,False,False,False
KBO,2021,김혜성,키움,635,0.372,0.367,0.0626118067978533,97,65,0.1891946202531645,-2.9262933106136466,0.12123027136761351,-1.3396533196625047,-1.3396533196625047,False,False,False
KBO,2021,박성한,SSG,471,0.377,0.388,0.085995085995086,73,49,0.1995925925925926,3.898885471973496,0.27859648900826445,-0.9505608324015211,-0.9505608324015211,False,False,False
KBO,2021,이용규,키움,547,0.392,0.373,0.0762527233115468,46,71,0.1966846011131725,1.9900939213341309,0.7506951419302174,-1.1126715481981946,-1.1126715481981946,False,False,False
KBO,2021,최원준,KIA,668,0.37,0.372,0.0764006791171477,68,61,0.192539156626506,-0.730955801745396,0.058283784311353115,-1.1102095969927894,-1.1102095969927894,False,False,False
KBO,2021,정훈,롯데,561,0.38,0.438,0.1460905349794238,89,68,0.2130760869565217,12.749385996856056,0.3730162195926551,0.04941387264963265,0.04941387264963265,False,False,False
KBO,2021,황재균,KT,507,0.358,0.402,0.1103752759381898,92,46,0.1977623762376237,2.6975403033476217,-0.3193951380262092,-0.544879975373559,-0.544879975373559,False,False,False
KBO,2021,박해민,삼성,542,0.383,0.377,0.0859030837004405,82,69,0.1971242937853107,2.278706065969029,0.46743595017704564,-0.9520917298156686,-0.9520917298156686,False,False,False
KBO,2021,강민호,삼성,462,0.361,0.478,0.1871921182266009,53,45,0.2195764192139738,17.01617266978241,-0.22497540744181863,0.7333349395417876,-0.22497540744181863,False,False,False
KBO,2021,이대호,롯데,465,0.342,0.448,0.1619047619047619,50,34,0.2061017316017315,8.171452854137653,-0.8229670344762906,0.31255903875694374,-0.8229670344762906,False,False,False
KBO,2021,피렐라,삼성,621,0.359,0.495,0.2097649186256781,89,57,0.2259208400646203,21.18061984891561,-0.28792189449807903,1.1089412425603176,-0.28792189449807903,False,False,False
KBO,2021,오재일,삼성,484,0.366,0.512,0.2272727272727272,106,58,0.2287100840336134,23.011466107704376,-0.06760918980116766,1.4002672262048992,-0.06760918980116766,False,False,False
KBO,2021,김현수,LG,595,0.376,0.435,0.150197628458498,42,77,0.2107983050847457,11.254260986409832,0.24712324548013428,0.11775498099920362,0.11775498099920362,False,False,False
