name,team,avg,games,pa,ab,runs,hits,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,slg,obp,ops,year
이정후,키움,0.36,123,544,464,78,167,42,6,7,242,84,62,9,37,8,0.522,0.438,0.96,2021
전준우,롯데,0.348,144,619,552,88,192,46,0,7,259,92,53,5,71,10,0.469,0.405,0.874,2021
강백호,KT,0.347,142,627,516,76,179,40,1,16,269,102,103,0,85,7,0.521,0.45,0.971,2021
홍창기,LG,0.328,144,651,524,103,172,26,2,4,214,52,109,16,95,6,0.408,0.456,0.864,2021
박건우,두산,0.325,126,525,458,82,149,31,2,6,202,63,50,11,72,16,0.441,0.4,0.841,2021
양의지,NC,0.325,141,570,480,81,156,29,2,30,279,111,69,11,60,12,0.581,0.414,0.995,2021
손아섭,롯데,0.319,139,610,542,88,173,29,2,3,215,58,61,3,67,15,0.397,0.39,0.787,2021
페르난데스,두산,0.315,141,617,540,73,170,24,0,15,239,81,65,6,35,25,0.443,0.391,0.834,2021
김선빈,KIA,0.307,130,564,501,55,154,32,0,5,201,67,56,1,39,19,0.401,0.375,0.776,2021
안치홍,롯데,0.306,119,490,421,58,129,30,2,10,193,82,52,3,58,10,0.458,0.379,0.837,2021
구자욱,삼성,0.306,139,610,543,107,166,30,10,22,282,88,48,6,98,9,0.519,0.361,0.88,2021
김혜성,키움,0.304,144,635,559,99,170,20,3,3,205,66,65,1,97,8,0.367,0.372,0.739,2021
박성한,SSG,0.302,135,471,407,53,123,21,1,4,158,44,49,1,73,1,0.388,0.377,0.765,2021
이용규,키움,0.296,133,547,459,88,136,16,8,1,171,43,71,5,46,5,0.373,0.392,0.765,2021
최원준,KIA,0.295,143,668,589,82,174,21,6,4,219,44,61,11,68,7,0.372,0.37,0.742,2021
정훈,롯데,0.292,135,561,486,70,142,27,1,14,213,79,68,3,89,6,0.438,0.38,0.818,2021
황재균,KT,0.291,117,507,453,74,132,16,2,10,182,56,46,3,92,11,0.402,0.358,0.76,2021
박해민,삼성,0.291,127,542,454,78,132,22,1,5,171,54,69,3,82,3,0.377,0.383,0.76,2021
강민호,삼성,0.291,123,462,406,55,118,22,0,18,194,67,45,4,53,18,0.478,0.361,0.839,2021
이대호,롯데,0.286,114,465,420,39,120,11,0,19,188,81,34,5,50,12,0.448,0.342,0.79,2021
피렐라,삼성,0.286,140,621,553,102,158,25,2,29,274,97,57,8,89,8,0.495,0.359,0.854,2021
오재일,삼성,0.285,120,484,418,64,119,20,0,25,214,97,58,0,106,5,0.512,0.366,0.878,2021
김현수,LG,0.285,140,595,506,70,144,23,1,17,220,96,77,3,42,7,0.435,0.376,0.811,2021
정은원,한화,0.283,139,608,495,85,140,22,5,6,190,39,105,1,105,9,0.384,0.407,0.791,2021
나성범,NC,0.281,144,623,570,96,160,29,1,33,290,101,38,11,155,5,0.509,0.335,0.844,2021
마차도,롯데,0.279,134,539,466,83,130,21,1,5,168,58,58,4,65,9,0.361,0.359,0.72,2021
한유섬,SSG,0.278,135,519,442,71,123,18,1,31,236,95,60,10,96,11,0.534,0.373,0.907,2021
허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,36,8,35,21,0.365,0.338,0.703,2021
최정,SSG,0.278,134,555,436,92,121,17,1,35,245,100,84,22,102,9,0.562,0.41,0.972,2021
채은성,LG,0.276,110,448,387,59,107,20,0,16,175,82,38,16,80,9,0.452,0.359,0.811,2021
최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,72,12,68,16,0.387,0.405,0.792,2021
김재환,두산,0.274,137,566,475,86,130,23,2,27,238,102,81,5,127,9,0.501,0.382,0.883,2021
양석환,두산,0.273,133,546,488,66,133,22,0,28,239,96,42,9,136,10,0.49,0.337,0.827,2021
하주석,한화,0.272,138,594,525,84,143,27,3,10,206,68,51,10,135,9,0.392,0.346,0.738,2021
알테어,NC,0.272,143,565,492,83,134,19,2,32,253,84,57,11,156,6,0.514,0.358,0.872,2021
노시환,한화,0.271,107,458,380,56,103,18,1,18,177,84,73,1,107,15,0.466,0.386,0.852,2021
심우준,KT,0.268,139,460,407,61,109,20,2,6,151,48,32,4,65,2,0.371,0.323,0.694,2021
한동희,롯데,0.267,129,496,424,54,113,24,0,17,188,69,61,6,95,21,0.443,0.364,0.807,2021
추신수,SSG,0.265,137,580,461,84,122,19,2,21,208,69,103,12,123,8,0.451,0.409,0.86,2021
최지훈,SSG,0.262,136,534,461,75,121,19,6,5,167,45,51,8,71,6,0.362,0.342,0.704,2021
배정대,KT,0.259,144,595,510,85,132,23,1,12,193,68,65,12,132,9,0.378,0.353,0.731,2021
최주환,SSG,0.256,116,470,406,50,104,16,0,18,174,67,53,9,84,7,0.429,0.353,0.782,2021
오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,54,5,82,11,0.356,0.335,0.691,2021
서건창,LG,0.253,144,600,513,78,130,24,2,6,176,52,69,9,78,14,0.343,0.35,0.693,2021
박동원,키움,0.249,131,481,413,61,103,21,0,22,190,83,53,7,114,12,0.46,0.342,0.802,2021
강진성,NC,0.249,124,462,406,49,101,20,0,7,142,38,36,14,68,12,0.35,0.33,0.68,2021
박찬호,KIA,0.246,131,483,418,51,103,15,5,1,131,59,54,0,73,11,0.313,0.331,0.644,2021
터커,KIA,0.237,127,539,468,42,111,24,1,9,164,59,61,8,66,12,0.35,0.334,0.684,2021
조용호,KT,0.236,138,515,428,71,101,14,1,0,117,48,74,3,85,8,0.273,0.349,0.622,2021
김상수,삼성,0.235,132,496,429,46,101,17,1,3,129,42,52,3,51,14,0.301,0.32,0.621,2021
최형우,KIA,0.233,104,446,373,52,87,15,1,12,140,55,67,4,67,9,0.375,0.354,0.729,2021
장성우,KT,0.231,127,460,385,46,89,13,0,14,144,63,60,3,69,16,0.374,0.337,0.711,2021
이원석,삼성,0.231,131,480,399,40,92,19,0,9,138,59,60,11,80,11,0.346,0.341,0.687,2021
박병호,키움,0.227,118,477,409,48,93,23,0,20,176,76,47,14,141,9,0.43,0.323,0.753,2021
이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,66,5,32,10,0.575,0.421,0.996,2022
피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,55,12,81,19,0.565,0.411,0.976,2022
박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,44,8,62,10,0.458,0.408,0.866,2022
