순위,name,team,AVG,G,pa,ab,runs,hits,doubles,triples,hr,tb,RBI,SAC,sf,year,bb,ibb,hbp,so,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,woba,wrc_plus,iso,bb_pct
1,이정후,키움,0.36,123,544,464,78,167,42,6,7,242,84,0,9,2021,62,1,9,37,8,0.522,0.438,0.96,51,0.341,0.0,0.247219152854512,35.1607294138607,0.16163793103448276,0.11397058823529412
2,전준우,롯데,0.348,144,619,552,88,192,46,0,7,259,92,1,8,2021,53,0,5,71,10,0.469,0.405,0.874,53,0.416,0.6,0.22727993527508092,22.072723375559683,0.1213768115942029,0.08562197092084006
3,강백호,KT,0.347,142,627,516,76,179,40,1,16,269,102,0,8,2021,103,10,0,85,7,0.521,0.45,0.971,53,0.34,0.0,0.24902269043760128,36.34456276558287,0.1744186046511628,0.16427432216905902
4,홍창기,LG,0.328,144,651,524,103,172,26,2,4,214,52,0,2,2021,109,4,16,95,6,0.408,0.456,0.864,57,0.343,0.5,0.2228284389489954,19.150782704458162,0.08015267175572519,0.1674347158218126
5,박건우,두산,0.325,126,525,458,82,149,31,2,6,202,63,0,6,2021,50,2,11,72,16,0.441,0.4,0.841,44,0.325,0.25,0.21799426386233273,15.97765354468044,0.11572052401746726,0.09523809523809523
6,양의지,NC,0.325,141,570,480,81,156,29,2,30,279,111,0,10,2021,69,5,11,60,12,0.581,0.414,0.995,41,0.374,0.5,0.25774159292035403,42.06760821042233,0.25625,0.12105263157894737
7,손아섭,롯데,0.319,139,610,542,88,173,29,2,3,215,58,3,1,2021,61,3,3,67,15,0.397,0.39,0.787,58,0.318,0.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
8,페르난데스,두산,0.315,141,617,540,73,170,24,0,15,239,81,0,6,2021,65,3,6,35,25,0.443,0.391,0.834,48,0.279,0.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
9,김선빈,KIA,0.307,130,564,501,55,154,32,0,5,201,67,1,5,2021,56,2,1,39,19,0.401,0.375,0.776,47,0.32,0.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
10,안치홍,롯데,0.306,119,490,421,58,129,30,2,10,193,82,5,9,2021,52,2,3,58,10,0.458,0.379,0.837,38,0.359,0.5,0.21808488612836438,16.037137562059854,0.15201900237529692,0.10612244897959183
11,구자욱,삼성,0.306,139,610,543,107,166,30,10,22,282,88,1,12,2021,48,3,6,98,9,0.519,0.361,0.88,45,0.283,0.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
12,김혜성,키움,0.304,144,635,559,99,170,20,3,3,205,66,0,10,2021,65,3,1,97,8,0.367,0.372,0.739,45,0.289,0.5,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
13,박성한,SSG,0.302,135,471,407,53,123,21,1,4,158,44,12,2,2021,49,0,1,73,1,0.388,0.377,0.765,26,0.298,0.5,0.19959259259259263,3.8988854719734958,0.085995085995086,0.1040339702760085
14,이용규,키움,0.296,133,547,459,88,136,16,8,1,171,43,6,6,2021,71,2,5,46,5,0.373,0.392,0.765,38,0.276,0.333,0.19668460111317254,1.9900939213341307,0.07625272331154684,0.12979890310786105
15,최원준,KIA,0.295,143,668,589,82,174,21,6,4,219,44,4,3,2021,61,0,11,68,7,0.372,0.37,0.742,46,0.264,0.0,0.192539156626506,-0.730955801745396,0.07640067911714771,0.09131736526946108
16,정훈,롯데,0.292,135,561,486,70,142,27,1,14,213,79,1,3,2021,68,8,3,89,6,0.438,0.38,0.818,42,0.24,0.167,0.21307608695652175,12.749385996856057,0.14609053497942387,0.12121212121212122
17,황재균,KT,0.291,117,507,453,74,132,16,2,10,182,56,1,4,2021,46,1,3,92,11,0.402,0.358,0.76,37,0.289,0.0,0.19776237623762374,2.6975403033476217,0.11037527593818984,0.09072978303747535
18,박해민,삼성,0.291,127,542,454,78,132,22,1,5,171,54,9,7,2021,69,2,3,82,3,0.377,0.383,0.76,36,0.327,0.0,0.19712429378531074,2.278706065969029,0.08590308370044053,0.12730627306273062
19,강민호,삼성,0.291,123,462,406,55,118,22,0,18,194,67,0,7,2021,45,4,4,53,18,0.478,0.361,0.839,34,0.25,0.25,0.2195764192139738,17.01617266978241,0.18719211822660098,0.09740259740259741
20,이대호,롯데,0.286,114,465,420,39,120,11,0,19,188,81,0,6,2021,34,3,5,50,12,0.448,0.342,0.79,36,0.256,0.143,0.20610173160173156,8.171452854137653,0.1619047619047619,0.07311827956989247
20,피렐라,삼성,0.286,140,621,553,102,158,25,2,29,274,97,0,3,2021,57,2,8,89,8,0.495,0.359,0.854,52,0.288,0.0,0.22592084006462035,21.18061984891561,0.20976491862567812,0.09178743961352658
22,오재일,삼성,0.285,120,484,418,64,119,20,0,25,214,97,0,8,2021,58,8,0,106,5,0.512,0.366,0.878,36,0.276,0.0,0.22871008403361345,23.011466107704376,0.22727272727272727,0.11983471074380166
23,김현수,LG,0.285,140,595,506,70,144,23,1,17,220,96,0,9,2021,77,5,3,42,7,0.435,0.376,0.811,43,0.279,0.0,0.21079830508474579,11.254260986409832,0.15019762845849802,0.12941176470588237
24,정은원,한화,0.283,139,608,495,85,140,22,5,6,190,39,4,3,2021,105,1,1,105,9,0.384,0.407,0.791,40,0.312,0.5,0.20655389718076284,8.468252154566466,0.10101010101010101,0.17269736842105263
25,나성범,NC,0.281,144,623,570,96,160,29,1,33,290,101,0,4,2021,38,2,11,155,5,0.509,0.335,0.844,46,0.263,0.0,0.2251256038647343,20.65863065126921,0.22807017543859648,0.060995184590690206
26,마차도,롯데,0.279,134,539,466,83,130,21,1,5,168,58,4,7,2021,58,1,4,65,9,0.361,0.359,0.72,27,0.339,0.0,0.18735767790262173,-4.132053390222614,0.0815450643776824,0.10760667903525047
27,한유섬,SSG,0.278,135,519,442,71,123,18,1,31,236,95,1,6,2021,60,4,10,96,11,0.534,0.373,0.907,33,0.304,0.429,0.23783657587548637,29.002051237692513,0.25565610859728505,0.11560693641618497
28,허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,3,3,2021,36,1,8,35,21,0.365,0.338,0.703,34,0.285,0.444,0.18411867704280155,-6.258117898145915,0.0876068376068376,0.0694980694980695
29,최정,SSG,0.278,134,555,436,92,121,17,1,35,245,100,1,12,2021,84,3,22,102,9,0.562,0.41,0.972,28,0.281,0.6,0.2506715063520871,37.42683756191685,0.28440366972477066,0.15135135135135136
30,채은성,LG,0.276,110,448,387,59,107,20,0,16,175,82,0,7,2021,38,2,16,80,9,0.452,0.359,0.811,27,0.317,0.167,0.21289910313901345,12.633214674535981,0.17571059431524547,0.08482142857142858
31,최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,5,3,2021,72,2,12,68,16,0.387,0.405,0.792,29,0.275,0.0,0.20768695652173913,9.211986829077915,0.112,0.15417558886509636
32,김재환,두산,0.274,137,566,475,86,130,23,2,27,238,102,0,5,2021,81,3,5,127,9,0.501,0.382,0.883,40,0.338,0.5,0.23171403197158078,24.98324301390632,0.22736842105263158,0.1431095406360424
33,양석환,두산,0.273,133,546,488,66,133,22,0,28,239,96,0,7,2021,42,2,9,136,10,0.49,0.337,0.827,34,0.29,0.25,0.2189503676470588,16.605235447425006,0.21721311475409835,0.07692307692307693
34,하주석,한화,0.272,138,594,525,84,143,27,3,10,206,68,5,3,2021,51,1,10,135,9,0.392,0.346,0.738,39,0.269,0.0,0.1944132653061224,0.4992000766153976,0.12,0.08585858585858586
