year,team,slot,games,woba
2021,KIA,1,143,0.1926055033491732
2021,KIA,2,120,0.1998240105539379
2021,KIA,3,96,0.1872593846048299
2021,KIA,4,61,0.18938627437057642
2021,KIA,5,28,0.18261657370320372
2021,KIA,6,49,0.1845311813426746
2021,KIA,7,19,0.1748638681611594
2021,KIA,8,10,0.16893894736842102
2021,KIA,9,94,0.16893894736842102
2021,KT,1,125,0.17137269768339322
2021,KT,2,121,0.1957024663916282
2021,KT,3,138,0.24671778849424195
2021,KT,4,51,0.19887098821866117
2021,KT,5,54,0.19094565932835192
2021,KT,6,57,0.1905831759622773
2021,KT,7,37,0.1845082218427552
2021,KT,8,40,0.18822860427073987
2021,KT,9,127,0.18161649468817012
2021,LG,1,143,0.2228284389489954
2021,LG,2,90,0.19161397332862162
2021,LG,3,139,0.20160470074764655
2021,LG,4,106,0.21221036754169953
2021,LG,5,64,0.19062503184875662
2021,LG,6,18,0.18363075825519773
2021,LG,7,10,0.1819886555265982
2021,LG,8,2,0.1819090909090909
2021,LG,9,13,0.1819090909090909
2021,NC,2,23,0.20596614523675455
2021,NC,3,140,0.22795785338368788
2021,NC,4,142,0.25402688418579344
2021,NC,5,120,0.22623070149941207
2021,NC,6,47,0.18815626821200615
2021,NC,7,41,0.1795219298245614
2021,NC,8,16,0.1795219298245614
2021,SSG,1,108,0.1973247628586154
2021,SSG,2,43,0.2189883400358763
2021,SSG,3,141,0.23439119451359505
2021,SSG,4,103,0.2350408883534159
2021,SSG,5,120,0.22538130876753296
2021,SSG,6,65,0.2202959066201237
2021,SSG,7,56,0.20286849224392686
2021,SSG,8,5,0.1965250246444163
2021,SSG,9,70,0.19060900074436196
2021,두산,1,87,0.18918054633767403
2021,두산,2,10,0.22695449647870286
2021,두산,3,110,0.21811898902696228
2021,두산,4,137,0.2309687085073751
2021,두산,5,126,0.21865874940758492
2021,두산,6,25,0.1896152592367046
2021,두산,7,19,0.18411867704280155
2021,두산,8,3,0.18411867704280152
2021,두산,9,1,0.18411867704280155
2021,롯데,1,101,0.19990007725188338
2021,롯데,2,108,0.2041689845500782
2021,롯데,3,144,0.21868926678008713
2021,롯데,4,143,0.21664689339945103
2021,롯데,5,132,0.2121237877727006
2021,롯데,6,102,0.2103691273687855
2021,롯데,7,70,0.21151819976227762
2021,롯데,8,15,0.2099775149484197
2021,롯데,9,45,0.18735767790262176
2021,삼성,1,131,0.19351929422796205
2021,삼성,2,137,0.22512375875402896
2021,삼성,3,145,0.22588190974460556
2021,삼성,4,138,0.22297249682176992
2021,삼성,5,129,0.21249505655434384
2021,삼성,6,94,0.1813866673251506
2021,삼성,7,34,0.18227536780704448
2021,삼성,8,3,0.18177941176470588
2021,삼성,9,71,0.16395901639344262
2021,키움,1,117,0.1944440085482129
