season,slot,team,teamId,plateAppearances,ops,rel_ops_team
2010,1,Seattle Mariners,136,734,0.754,1.182897375661952
2010,1,Detroit Tigers,116,773,0.752,1.000693604962248
2010,1,Los Angeles Dodgers,119,751,0.785,1.1239224869143092
2010,1,New York Mets,121,758,0.761,1.0930431757739885
2010,1,Arizona Diamondbacks,109,751,0.851,1.150202618188114
2010,1,Atlanta Braves,144,767,0.768,1.0384670036423391
2010,1,New York Yankees,147,786,0.743,0.9461536879874777
2010,1,Colorado Rockies,115,765,0.755,0.9936531151056407
2010,1,Oakland Athletics,133,756,0.721,1.0256570243330803
2010,1,Chicago White Sox,145,751,0.643,0.855346751589476
2010,1,Baltimore Orioles,110,746,0.681,0.9699583593684427
2010,1,Boston Red Sox,111,783,0.686,0.8675133920719571
2010,1,Kansas City Royals,118,761,0.703,0.9621463474418162
2010,1,Milwaukee Brewers,158,771,0.811,1.0693358733632765
2010,1,Los Angeles Angels,108,744,0.703,1.0012052633967143
2010,1,Florida Marlins,146,759,0.716,0.991352802269677
2010,1,Minnesota Twins,142,759,0.68,0.8922379933222023
2010,1,Houston Astros,117,738,0.665,1.001433691576504
2010,1,Philadelphia Phillies,143,769,0.753,1.009859141418179
2010,1,San Francisco Giants,137,748,0.774,1.0628391169731
2010,1,Texas Rangers,140,771,0.61,0.806771794236277
2010,1,Chicago Cubs,112,752,0.679,0.9433173747780612
2010,1,Tampa Bay Rays,139,767,0.729,0.9905260493552132
2010,1,Pittsburgh Pirates,134,725,0.726,1.0718017443402108
2010,1,Cleveland Indians,114,760,0.609,0.8689778862818291
2010,1,Cincinnati Reds,113,767,0.684,0.8832002248401528
2010,1,Toronto Blue Jays,141,749,0.698,0.9107626822167457
2010,1,St. Louis Cardinals,138,761,0.646,0.8796594545119333
2010,1,Washington Nationals,120,743,0.617,0.8706448096735329
2010,1,San Diego Padres,135,752,0.617,0.8960327221937059
2010,2,Florida Marlins,146,744,0.821,1.1367327523231912
2010,2,Cincinnati Reds,113,747,0.763,0.9852072683523927
2010,2,Pittsburgh Pirates,134,710,0.759,1.120520005446584
2010,2,Texas Rangers,140,753,0.779,1.0302872585410816
2010,2,Chicago Cubs,112,737,0.732,1.0169489224411499
2010,2,St. Louis Cardinals,138,747,0.781,1.0634892166777397
2010,2,Detroit Tigers,116,753,0.777,1.0339613444889184
2010,2,Atlanta Braves,144,754,0.783,1.0587495623072285
2010,2,Baltimore Orioles,110,734,0.753,1.0725090229140049
2010,2,San Francisco Giants,137,727,0.718,0.9859411963652271
2010,2,Philadelphia Phillies,143,749,0.718,0.9629201375009993
2010,2,Oakland Athletics,133,733,0.803,1.142305950817564
2010,2,Kansas City Royals,118,741,0.675,0.9238247290515306
2010,2,Colorado Rockies,115,748,0.748,0.984440437217244
2010,2,Arizona Diamondbacks,109,732,0.764,1.0326143364227016
2010,2,Washington Nationals,120,722,0.7,0.9877655863395024
2010,2,Boston Red Sox,111,757,0.818,1.0344401672228292
2010,2,Milwaukee Brewers,158,752,0.741,0.9770380791149049
2010,2,Tampa Bay Rays,139,753,0.752,1.021777214149685
2010,2,San Diego Padres,135,739,0.676,0.9817149436028286
2010,2,Houston Astros,117,718,0.654,0.9848686229940355
2010,2,Los Angeles Angels,108,731,0.713,1.0154471590353589
2010,2,Chicago White Sox,145,727,0.667,0.8872726023486478
2010,2,Seattle Mariners,136,716,0.64,1.0040508228430363
2010,2,Minnesota Twins,142,746,0.684,0.8974864521064506
2010,2,Los Angeles Dodgers,119,737,0.702,1.0050873704634968
2010,2,Cleveland Indians,114,741,0.69,0.9845562258365551
2010,2,New York Yankees,147,773,0.763,0.9716221587273829
2010,2,New York Mets,121,733,0.645,0.9264294985206604
2010,2,Toronto Blue Jays,141,723,0.736,0.9603457508761102
2010,3,Cincinnati Reds,113,732,1.013,1.3080143680746705
2010,3,Kansas City Royals,118,713,0.843,1.1537544393932446
2010,3,Minnesota Twins,142,734,0.869,1.140227670877932
2010,3,Milwaukee Brewers,158,733,0.928,1.2236050437498405
2010,3,St. Louis Cardinals,138,735,0.997,1.35761683614303
2010,3,Colorado Rockies,115,729,0.892,1.1739583823499755
2010,3,Texas Rangers,140,739,0.861,1.138738548913827
2010,3,Boston Red Sox,111,739,0.913,1.1545768614601994
2010,3,Cleveland Indians,114,722,0.886,1.2642272696973738
2010,3,Tampa Bay Rays,139,732,0.833,1.1318356640780418
2010,3,San Diego Padres,135,722,0.853,1.2387616078301964
2010,3,Florida Marlins,146,723,0.823,1.1395018942289723
2010,3,Philadelphia Phillies,143,733,0.805,1.0795970900951317
2010,3,San Francisco Giants,137,718,0.818,1.1232589117364287
2010,3,Washington Nationals,120,713,0.829,1.169796672964925
2010,3,Pittsburgh Pirates,134,698,0.777,1.1470936024136968
2010,3,New York Mets,121,719,0.792,1.1375692446951364
2010,3,Houston Astros,117,702,0.8,1.2047322605431627
2010,3,Detroit Tigers,116,737,0.746,0.9927093474758469
2010,3,Los Angeles Dodgers,119,721,0.803,1.1496939579518348
2010,3,Atlanta Braves,144,737,0.792,1.0709190975061622
2010,3,Baltimore Orioles,110,715,0.716,1.0198093763697575
2010,3,Chicago White Sox,145,708,0.77,1.02428771185676
2010,3,Los Angeles Angels,108,714,0.736,1.0482035190042414
2010,3,New York Yankees,147,749,0.835,1.0633086533910414
2010,3,Chicago Cubs,112,722,0.721,1.0016669031148484
2010,3,Arizona Diamondbacks,109,723,0.751,1.0150436736301687
2010,3,Oakland Athletics,133,712,0.652,0.9275012203400393
2010,3,Toronto Blue Jays,141,705,0.83,1.082998604928222
2010,3,Seattle Mariners,136,700,0.705,1.106024734538032
2010,4,Detroit Tigers,116,715,1.023,1.3613159014313556
2010,4,Chicago White Sox,145,697,0.97,1.2903364681831908
2010,4,Texas Rangers,140,722,0.842,1.1136095913884347
2010,4,Colorado Rockies,115,715,0.886,1.1660618013027784
2010,4,Boston Red Sox,111,723,0.9,1.1381371033014014
2010,4,St. Louis Cardinals,138,715,0.842,1.1465530351378448
2010,4,Los Angeles Dodgers,119,703,0.788,1.1282177320872302
2010,4,Atlanta Braves,144,712,0.84,1.1358232852338084
2010,4,Minnesota Twins,142,718,0.857,1.1244822945251873
2010,4,Los Angeles Angels,108,698,0.838,1.1934708545184163
2010,4,New York Yankees,147,731,0.858,1.0925973947419325
2010,4,Oakland Athletics,133,695,0.796,1.132348115629864
2010,4,Florida Marlins,146,702,0.816,1.129809897558738
2010,4,Cincinnati Reds,113,716,0.799,1.0316914907124008
2010,4,Philadelphia Phillies,143,718,0.841,1.1278772084099449
2010,4,Washington Nationals,120,697,0.874,1.2332958892296073
2010,4,Toronto Blue Jays,141,689,0.818,1.0673407937726334
2010,4,Tampa Bay Rays,139,714,0.802,1.0897145289202756
2010,4,Kansas City Royals,118,699,0.78,1.0675307980151019
2010,4,San Francisco Giants,137,707,0.778,1.0683318255879481
2010,4,Milwaukee Brewers,158,717,0.807,1.064061713691941
2010,4,Baltimore Orioles,110,701,0.731,1.0411740979417496
2010,4,Chicago Cubs,112,707,0.753,1.0461236866095434
2010,4,New York Mets,121,702,0.748,1.0743709533231844
2010,4,San Diego Padres,135,702,0.712,1.0339956210728016
2010,4,Pittsburgh Pirates,134,685,0.704,1.0393229036026286
2010,4,Cleveland Indians,114,704,0.707,1.0088134082122384
2010,4,Arizona Diamondbacks,109,709,0.721,0.9744959902627851
2010,4,Seattle Mariners,136,688,0.667,1.046409216931727
2010,4,Houston Astros,117,681,0.684,1.0300460827644042
2010,5,New York Yankees,147,706,0.936,1.191924430627563
2010,5,Texas Rangers,140,702,0.948,1.2538027228458863
2010,5,Philadelphia Phillies,143,702,0.944,1.2660119913662162
2010,5,St. Louis Cardinals,138,693,0.839,1.142467929311938
2010,5,Boston Red Sox,111,699,0.868,1.0976700062951292
2010,5,Milwaukee Brewers,158,701,0.791,1.0429650750065989
2010,5,Kansas City Royals,118,691,0.775,1.0606876518739794
2010,5,San Diego Padres,135,685,0.749,1.0877285395836074
2010,5,Minnesota Twins,142,701,0.766,1.0050798571835395
2010,5,San Francisco Giants,137,689,0.801,1.0999149001233246
2010,5,Detroit Tigers,116,701,0.781,1.0392841828131856
2010,5,Washington Nationals,120,682,0.832,1.1740299540492372
2010,5,Los Angeles Angels,108,680,0.766,1.0909292059201752
2010,5,Chicago Cubs,112,689,0.743,1.0322309417674513
2010,5,Cincinnati Reds,113,698,0.771,0.9955370955435056
2010,5,Oakland Athletics,133,681,0.714,1.0156991891453804
2010,5,Los Angeles Dodgers,119,683,0.745,1.0666525512753635
2010,5,Colorado Rockies,115,702,0.807,1.062090150848016
2010,5,Houston Astros,117,667,0.714,1.0752235425347727
2010,5,Florida Marlins,146,684,0.703,0.9733533798820991
2010,5,Baltimore Orioles,110,679,0.72,1.0255066354556222
2010,5,New York Mets,121,685,0.769,1.1045337742052523
2010,5,Cleveland Indians,114,680,0.731,1.0430588421543794
2010,5,Arizona Diamondbacks,109,693,0.806,1.0893810931370387
2010,5,Pittsburgh Pirates,134,668,0.737,1.0880411647090018
2010,5,Chicago White Sox,145,679,0.752,1.0003433237873811
2010,5,Toronto Blue Jays,141,678,0.742,0.9681746564539045
2010,5,Atlanta Braves,144,691,0.72,0.9735628159146928
2010,5,Tampa Bay Rays,139,695,0.717,0.9742210938102713
2010,5,Seattle Mariners,136,670,0.556,0.8722691523448878
2010,6,Baltimore Orioles,110,662,0.872,1.2420024807184757
2010,6,Minnesota Twins,142,682,0.876,1.1494124737503664
2010,6,St. Louis Cardinals,138,674,0.749,1.0199147545347338
2010,6,Philadelphia Phillies,143,683,0.802,1.0755737469022304
2010,6,Texas Rangers,140,683,0.819,1.0831903270155916
2010,6,Chicago Cubs,112,660,0.832,1.1558763708620718
