순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,이정후,키움,0.360,123,544,464,78,167,42,6,7,242,84,0,9,2021,62,1,9,37,8,0.522,0.438,0.960,51,0.341,0.000
2,전준우,롯데,0.348,144,619,552,88,192,46,0,7,259,92,1,8,2021,53,0,5,71,10,0.469,0.405,0.874,53,0.416,0.600
3,강백호,KT,0.347,142,627,516,76,179,40,1,16,269,102,0,8,2021,103,10,0,85,7,0.521,0.450,0.971,53,0.340,0.000
4,홍창기,LG,0.328,144,651,524,103,172,26,2,4,214,52,0,2,2021,109,4,16,95,6,0.408,0.456,0.864,57,0.343,0.500
5,박건우,두산,0.325,126,525,458,82,149,31,2,6,202,63,0,6,2021,50,2,11,72,16,0.441,0.400,0.841,44,0.325,0.250
6,양의지,NC,0.325,141,570,480,81,156,29,2,30,279,111,0,10,2021,69,5,11,60,12,0.581,0.414,0.995,41,0.374,0.500
7,손아섭,롯데,0.319,139,610,542,88,173,29,2,3,215,58,3,1,2021,61,3,3,67,15,0.397,0.390,0.787,58,0.318,0.000
8,페르난데스,두산,0.315,141,617,540,73,170,24,0,15,239,81,0,6,2021,65,3,6,35,25,0.443,0.391,0.834,48,0.279,0.000
9,김선빈,KIA,0.307,130,564,501,55,154,32,0,5,201,67,1,5,2021,56,2,1,39,19,0.401,0.375,0.776,47,0.320,0.000
10,안치홍,롯데,0.306,119,490,421,58,129,30,2,10,193,82,5,9,2021,52,2,3,58,10,0.458,0.379,0.837,38,0.359,0.500
11,구자욱,삼성,0.306,139,610,543,107,166,30,10,22,282,88,1,12,2021,48,3,6,98,9,0.519,0.361,0.880,45,0.283,0.000
12,김혜성,키움,0.304,144,635,559,99,170,20,3,3,205,66,0,10,2021,65,3,1,97,8,0.367,0.372,0.739,45,0.289,0.500
13,박성한,SSG,0.302,135,471,407,53,123,21,1,4,158,44,12,2,2021,49,0,1,73,1,0.388,0.377,0.765,26,0.298,0.500
14,이용규,키움,0.296,133,547,459,88,136,16,8,1,171,43,6,6,2021,71,2,5,46,5,0.373,0.392,0.765,38,0.276,0.333
15,최원준,KIA,0.295,143,668,589,82,174,21,6,4,219,44,4,3,2021,61,0,11,68,7,0.372,0.370,0.742,46,0.264,0.000
16,정훈,롯데,0.292,135,561,486,70,142,27,1,14,213,79,1,3,2021,68,8,3,89,6,0.438,0.380,0.818,42,0.240,0.167
17,황재균,KT,0.291,117,507,453,74,132,16,2,10,182,56,1,4,2021,46,1,3,92,11,0.402,0.358,0.760,37,0.289,0.000
18,박해민,삼성,0.291,127,542,454,78,132,22,1,5,171,54,9,7,2021,69,2,3,82,3,0.377,0.383,0.760,36,0.327,0.000
19,강민호,삼성,0.291,123,462,406,55,118,22,0,18,194,67,0,7,2021,45,4,4,53,18,0.478,0.361,0.839,34,0.250,0.250
20,이대호,롯데,0.286,114,465,420,39,120,11,0,19,188,81,0,6,2021,34,3,5,50,12,0.448,0.342,0.790,36,0.256,0.143
20,피렐라,삼성,0.286,140,621,553,102,158,25,2,29,274,97,0,3,2021,57,2,8,89,8,0.495,0.359,0.854,52,0.288,0.000
22,오재일,삼성,0.285,120,484,418,64,119,20,0,25,214,97,0,8,2021,58,8,0,106,5,0.512,0.366,0.878,36,0.276,0.000
23,김현수,LG,0.285,140,595,506,70,144,23,1,17,220,96,0,9,2021,77,5,3,42,7,0.435,0.376,0.811,43,0.279,0.000
24,정은원,한화,0.283,139,608,495,85,140,22,5,6,190,39,4,3,2021,105,1,1,105,9,0.384,0.407,0.791,40,0.312,0.500
25,나성범,NC,0.281,144,623,570,96,160,29,1,33,290,101,0,4,2021,38,2,11,155,5,0.509,0.335,0.844,46,0.263,0.000
26,마차도,롯데,0.279,134,539,466,83,130,21,1,5,168,58,4,7,2021,58,1,4,65,9,0.361,0.359,0.720,27,0.339,0.000
27,한유섬,SSG,0.278,135,519,442,71,123,18,1,31,236,95,1,6,2021,60,4,10,96,11,0.534,0.373,0.907,33,0.304,0.429
28,허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,3,3,2021,36,1,8,35,21,0.365,0.338,0.703,34,0.285,0.444
29,최정,SSG,0.278,134,555,436,92,121,17,1,35,245,100,1,12,2021,84,3,22,102,9,0.562,0.410,0.972,28,0.281,0.600
30,채은성,LG,0.276,110,448,387,59,107,20,0,16,175,82,0,7,2021,38,2,16,80,9,0.452,0.359,0.811,27,0.317,0.167
31,최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,5,3,2021,72,2,12,68,16,0.387,0.405,0.792,29,0.275,0.000
32,김재환,두산,0.274,137,566,475,86,130,23,2,27,238,102,0,5,2021,81,3,5,127,9,0.501,0.382,0.883,40,0.338,0.500
33,양석환,두산,0.273,133,546,488,66,133,22,0,28,239,96,0,7,2021,42,2,9,136,10,0.490,0.337,0.827,34,0.290,0.250
34,하주석,한화,0.272,138,594,525,84,143,27,3,10,206,68,5,3,2021,51,1,10,135,9,0.392,0.346,0.738,39,0.269,0.000
35,알테어,NC,0.272,143,565,492,83,134,19,2,32,253,84,0,5,2021,57,2,11,156,6,0.514,0.358,0.872,31,0.248,0.000
36,노시환,한화,0.271,107,458,380,56,103,18,1,18,177,84,0,4,2021,73,9,1,107,15,0.466,0.386,0.852,25,0.341,0.000
37,심우준,KT,0.268,139,460,407,61,109,20,2,6,151,48,10,6,2021,32,0,4,65,2,0.371,0.323,0.694,26,0.271,0.500
38,한동희,롯데,0.267,129,496,424,54,113,24,0,17,188,69,1,4,2021,61,1,6,95,21,0.443,0.364,0.807,32,0.252,0.500
39,추신수,SSG,0.265,137,580,461,84,122,19,2,21,208,69,0,4,2021,103,4,12,123,8,0.451,0.409,0.860,34,0.274,0.222
40,최지훈,SSG,0.262,136,534,461,75,121,19,6,5,167,45,8,6,2021,51,0,8,71,6,0.362,0.342,0.704,30,0.255,0.333
41,배정대,KT,0.259,144,595,510,85,132,23,1,12,193,68,3,5,2021,65,2,12,132,9,0.378,0.353,0.731,35,0.220,0.000
42,최주환,SSG,0.256,116,470,406,50,104,16,0,18,174,67,0,2,2021,53,4,9,84,7,0.429,0.353,0.782,29,0.284,0.167
43,오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,4,5,2021,54,0,5,82,11,0.356,0.335,0.691,30,0.248,0.250
44,서건창,LG,0.253,144,600,513,78,130,24,2,6,176,52,5,4,2021,69,2,9,78,14,0.343,0.350,0.693,32,0.240,0.286
45,박동원,키움,0.249,131,481,413,61,103,21,0,22,190,83,5,3,2021,53,0,7,114,12,0.460,0.342,0.802,26,0.277,0.200
46,강진성,NC,0.249,124,462,406,49,101,20,0,7,142,38,4,2,2021,36,2,14,68,12,0.350,0.330,0.680,25,0.227,0.200
47,박찬호,KIA,0.246,131,483,418,51,103,15,5,1,131,59,8,3,2021,54,0,0,73,11,0.313,0.331,0.644,22,0.291,1.000
48,터커,KIA,0.237,127,539,468,42,111,24,1,9,164,59,0,2,2021,61,1,8,66,12,0.350,0.334,0.684,24,0.266,0.000
49,조용호,KT,0.236,138,515,428,71,101,14,1,0,117,48,5,5,2021,74,0,3,85,8,0.273,0.349,0.622,27,0.330,0.143
