season,slot,team,teamId,plateAppearances,atBats,runs,hits,doubles,triples,homeRuns,baseOnBalls,intentionalWalks,hitByPitch,strikeOuts,sacBunts,sacFlies,stolenBases,caughtStealing,totalBases,rbi,avg,obp,slg,ops,babip
2010,1,Seattle Mariners,136,734,681,,214,30,3,6,46,13,3,87,3,1,,,268,43,.314,.360,.394,.754,.353
2010,1,Detroit Tigers,116,773,708,,208,40,11,6,55,4,3,177,2,5,,,288,55,.294,.345,.407,.752,.381
2010,1,Los Angeles Dodgers,119,751,676,,195,39,11,12,65,6,4,108,3,3,,,292,62,.288,.353,.432,.785,.327
2010,1,New York Mets,121,758,708,,204,34,14,14,38,4,4,89,4,4,,,308,71,.288,.326,.435,.761,.312
2010,1,Arizona Diamondbacks,109,751,663,,190,45,5,25,83,3,3,140,1,1,,,320,71,.287,.368,.483,.851,.331
2010,1,Atlanta Braves,144,767,697,,198,32,7,19,57,2,1,98,6,6,,,301,59,.284,.336,.432,.768,.305
2010,1,New York Yankees,147,786,697,,198,34,3,10,71,4,12,121,2,4,,,268,72,.284,.358,.385,.743,.330
2010,1,Colorado Rockies,115,765,706,,195,29,11,18,52,1,5,154,2,0,,,300,68,.276,.330,.425,.755,.331
2010,1,Oakland Athletics,133,756,684,,187,34,5,12,60,0,1,120,6,5,,,267,65,.273,.331,.390,.721,.314
2010,1,Chicago White Sox,145,751,668,,180,18,3,1,44,0,21,52,15,3,,,207,48,.269,.333,.310,.643,.290
2010,1,Baltimore Orioles,110,746,678,,180,35,0,10,51,2,4,141,10,2,,,245,46,.265,.320,.361,.681,.321
2010,1,Boston Red Sox,111,783,718,,190,41,0,11,56,0,2,104,3,3,,,264,57,.265,.318,.368,.686,.295
2010,1,Kansas City Royals,118,761,684,,181,31,9,10,59,2,3,109,9,6,,,260,63,.265,.323,.380,.703,.299
2010,1,Milwaukee Brewers,158,771,667,,176,32,4,28,77,0,25,181,0,2,,,300,81,.264,.361,.450,.811,.322
2010,1,Los Angeles Angels,108,744,670,,176,34,5,11,56,2,7,110,9,2,,,253,47,.263,.325,.378,.703,.299
2010,1,Florida Marlins,146,759,674,,177,34,6,11,67,5,10,165,4,4,,,256,47,.263,.336,.380,.716,.331
2010,1,Minnesota Twins,142,759,677,,176,27,10,5,63,0,7,81,10,2,,,238,61,.260,.328,.352,.680,.288
2010,1,Houston Astros,117,738,658,,170,29,6,3,70,5,2,127,6,2,,,220,46,.258,.331,.334,.665,.315
2010,1,Philadelphia Phillies,143,769,689,,178,30,11,20,68,5,9,75,0,3,,,290,85,.258,.332,.421,.753,.265
2010,1,San Francisco Giants,137,748,683,,174,46,10,24,58,1,4,161,3,0,,,312,84,.255,.317,.457,.774,.301
2010,1,Texas Rangers,140,771,682,,172,19,2,1,61,0,7,106,18,1,,,198,42,.252,.320,.290,.610,.297
2010,1,Chicago Cubs,112,752,678,,170,30,5,12,63,2,4,120,2,4,,,246,56,.251,.316,.363,.679,.287
2010,1,Tampa Bay Rays,139,767,654,,163,38,4,13,99,2,5,118,5,4,,,248,63,.249,.350,.379,.729,.285
2010,1,Pittsburgh Pirates,134,725,647,,161,43,4,17,67,0,4,101,1,6,,,263,66,.249,.320,.406,.726,.269
2010,1,Cleveland Indians,114,760,698,,171,27,5,4,46,0,3,95,11,2,,,220,42,.245,.294,.315,.609,.278
2010,1,Cincinnati Reds,113,767,698,,170,32,7,16,55,0,9,122,2,3,,,264,65,.244,.306,.378,.684,.274
