season,team,teamId,gamesPlayed,plateAppearances,runs
2010,Texas Rangers,140,162,6302,787
2010,Kansas City Royals,118,162,6209,676
2010,Minnesota Twins,142,162,6257,781
2010,Cincinnati Reds,113,162,6285,790
2010,Detroit Tigers,116,162,6312,751
2010,Boston Red Sox,111,162,6356,818
2010,Chicago White Sox,145,162,6118,752
2010,New York Yankees,147,162,6379,859
2010,St. Louis Cardinals,138,162,6241,736
2010,Colorado Rockies,115,162,6265,770
2010,Milwaukee Brewers,158,162,6304,750
2010,Philadelphia Phillies,143,162,6291,772
2010,Baltimore Orioles,110,162,6109,613
2010,Atlanta Braves,144,162,6252,738
2010,San Francisco Giants,137,162,6143,697
2010,Chicago Cubs,112,162,6140,685
2010,Oakland Athletics,133,162,6117,663
2010,Florida Marlins,146,162,6194,719
2010,Los Angeles Dodgers,119,162,6140,667
2010,Washington Nationals,120,162,6100,655
2010,Arizona Diamondbacks,109,162,6183,713
2010,New York Mets,121,162,6144,656
2010,Los Angeles Angels,108,162,6089,681
2010,Toronto Blue Jays,141,162,6072,755
2010,Cleveland Indians,114,162,6165,646
2010,Houston Astros,117,162,6005,611
2010,Tampa Bay Rays,139,162,6270,802
2010,San Diego Padres,135,162,6148,665
2010,Pittsburgh Pirates,134,162,5974,587
2010,Seattle Mariners,136,162,5989,513
2011,Texas Rangers,140,162,6261,855
2011,Boston Red Sox,111,162,6414,875
2011,Detroit Tigers,116,162,6231,787
2011,Kansas City Royals,118,162,6267,730
2011,St. Louis Cardinals,138,162,6242,762
2011,New York Mets,121,162,6335,718
2011,New York Yankees,147,162,6306,867
2011,Milwaukee Brewers,158,162,6113,721
2011,Colorado Rockies,115,162,6275,735
2011,Houston Astros,117,162,6150,615
2011,Baltimore Orioles,110,162,6156,708
2011,Los Angeles Dodgers,119,161,6094,644
2011,Chicago Cubs,112,162,6130,654
2011,Cincinnati Reds,113,162,6329,735
2011,Los Angeles Angels,108,162,6088,667
2011,Philadelphia Phillies,143,162,6279,713
2011,Chicago White Sox,145,162,6159,654
2011,Cleveland Indians,114,162,6142,704
2011,Arizona Diamondbacks,109,162,6096,731
2011,Toronto Blue Jays,141,162,6210,743
2011,Minnesota Twins,142,162,6020,619
2011,Florida Marlins,146,162,6232,625
2011,Pittsburgh Pirates,134,162,6064,610
2011,Oakland Athletics,133,162,6104,645
2011,Tampa Bay Rays,139,162,6152,707
2011,Atlanta Braves,144,162,6169,641
2011,Washington Nationals,120,161,6090,624
2011,San Francisco Giants,137,162,6091,570
2011,San Diego Padres,135,162,6074,593
2011,Seattle Mariners,136,162,5972,556
2012,Los Angeles Angels,108,162,6121,767
2012,Colorado Rockies,115,162,6183,758
2012,Texas Rangers,140,162,6216,808
2012,St. Louis Cardinals,138,162,6326,765
2012,San Francisco Giants,137,162,6200,718
2012,Detroit Tigers,116,162,6119,726
2012,Kansas City Royals,118,162,6149,676
2012,New York Yankees,147,162,6231,804
2012,Washington Nationals,120,162,6221,731
2012,Boston Red Sox,111,162,6166,734
2012,Minnesota Twins,142,162,6209,701
2012,Milwaukee Brewers,158,162,6224,776
2012,Arizona Diamondbacks,109,162,6150,734
2012,Chicago White Sox,145,162,6111,748
2012,Philadelphia Phillies,143,162,6172,684
2012,Los Angeles Dodgers,119,162,6091,637
2012,Cincinnati Reds,113,162,6115,669
2012,Cleveland Indians,114,162,6195,667
2012,New York Mets,121,162,6091,650
2012,Baltimore Orioles,110,162,6160,712
2012,Atlanta Braves,144,162,6126,700
2012,San Diego Padres,135,162,6112,651
2012,Toronto Blue Jays,141,162,6094,716
2012,Miami Marlins,146,162,6057,609
2012,Pittsburgh Pirates,134,162,6014,651
2012,Chicago Cubs,112,162,5967,613
2012,Tampa Bay Rays,139,162,6105,697
2012,Oakland Athletics,133,162,6183,713
2012,Houston Astros,117,162,6014,583
2012,Seattle Mariners,136,162,6057,619
2013,Detroit Tigers,116,162,6388,796
2013,Boston Red Sox,111,162,6382,853
2013,Colorado Rockies,115,162,6152,706
2013,St. Louis Cardinals,138,162,6202,783
2013,Los Angeles Angels,108,162,6260,733
2013,Los Angeles Dodgers,119,162,6145,649
2013,Texas Rangers,140,163,6196,730
2013,San Francisco Giants,137,162,6168,629
2013,Kansas City Royals,118,162,6093,648
2013,Baltimore Orioles,110,162,6144,745
2013,Arizona Diamondbacks,109,162,6334,685
2013,Tampa Bay Rays,139,163,6242,700
2013,Cleveland Indians,114,162,6165,745
2013,Oakland Athletics,133,162,6209,767
2013,Toronto Blue Jays,141,162,6152,712
2013,Milwaukee Brewers,158,162,6064,640
2013,Washington Nationals,120,162,6047,656
2013,Cincinnati Reds,113,162,6293,698
2013,Chicago White Sox,145,162,6077,598
2013,Atlanta Braves,144,162,6133,688
2013,Philadelphia Phillies,143,162,6014,610
2013,Pittsburgh Pirates,134,162,6135,634
2013,San Diego Padres,135,162,6122,618
2013,New York Yankees,147,162,6045,650
2013,Minnesota Twins,142,162,6212,614
2013,Houston Astros,117,162,6020,610
2013,Chicago Cubs,112,162,6079,602
2013,Seattle Mariners,136,162,6172,624
2013,New York Mets,121,162,6207,619
2013,Miami Marlins,146,162,6021,513
2014,Detroit Tigers,116,162,6202,757
2014,Colorado Rockies,115,162,6164,755
2014,Los Angeles Dodgers,119,162,6231,718
2014,Kansas City Royals,118,162,6058,651
2014,Pittsburgh Pirates,134,162,6224,682
2014,Los Angeles Angels,108,162,6285,773
2014,Toronto Blue Jays,141,162,6167,723
2014,Texas Rangers,140,162,6026,637
2014,Baltimore Orioles,110,162,6130,705
2014,San Francisco Giants,137,162,6087,665
2014,Minnesota Twins,142,162,6233,715
2014,Washington Nationals,120,162,6216,686
2014,Cleveland Indians,114,162,6222,669
2014,St. Louis Cardinals,138,162,6086,619
2014,Miami Marlins,146,162,6185,645
2014,Chicago White Sox,145,162,6077,660
2014,Milwaukee Brewers,158,162,6065,650
2014,Arizona Diamondbacks,109,162,6089,615
2014,Tampa Bay Rays,139,162,6205,612
2014,New York Yankees,147,162,6082,633
2014,Oakland Athletics,133,162,6245,729
