year,name,p_no,code,pos,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS
2023,임지열,11225,10001,LF,16,12,3,6,1,0,1,10,5,2,2,3,0,0,2,0,1,0,0.500,0.600,0.833,1.433
2023,오태곤,10249,9002,LF,55,49,12,20,6,1,2,34,7,10,13,3,1,0,6,2,2,0,0.408,0.453,0.694,1.147
2023,김혜성,12905,10001,2B,102,90,24,36,6,3,1,51,10,21,20,11,0,2,14,0,0,1,0.400,0.461,0.567,1.028
2023,최인호,14707,7002,LF,48,44,11,17,2,1,1,24,2,13,9,0,3,0,5,0,1,0,0.386,0.426,0.545,0.971
2023,구자욱,10892,1001,RF,78,67,11,25,9,0,1,37,10,17,20,8,1,0,7,0,0,2,0.373,0.436,0.552,0.988
2023,안익훈,11347,5002,CF,11,11,0,4,0,0,0,4,1,4,2,0,0,0,1,0,0,0,0.364,0.364,0.364,0.728
2023,박수종,15132,10001,CF,24,22,5,8,1,1,0,11,1,8,4,1,1,0,2,1,0,0,0.364,0.417,0.500,0.917
2023,김태진,11244,10001,3B,26,25,4,9,0,0,0,9,1,4,10,0,0,0,2,0,1,0,0.360,0.360,0.360,0.720
2023,손아섭,10261,11001,DH,516,466,88,165,31,1,5,213,56,151,101,45,2,2,51,9,1,2,0.354,0.412,0.457,0.869
2023,피렐라,14757,1001,LF,18,18,3,6,1,0,1,10,3,5,5,0,0,0,2,1,0,0,0.333,0.333,0.556,0.889
2023,홍창기,12546,5002,RF,606,495,105,164,32,2,1,203,62,152,107,83,19,3,78,6,3,6,0.331,0.441,0.410,0.851
2023,박민우,11137,11001,2B,113,100,16,33,4,1,0,39,9,28,25,9,4,0,14,1,0,0,0.330,0.407,0.390,0.797
2023,박찬호,11261,2002,SS,169,154,26,48,5,1,1,58,17,41,49,10,1,0,19,6,1,3,0.312,0.351,0.377,0.728
2023,안치영,13006,12001,RF,13,13,2,4,1,0,0,5,0,3,5,0,0,0,1,0,0,0,0.308,0.308,0.385,0.693
2023,김도영,15056,2002,3B,83,78,13,24,6,0,1,33,6,23,17,5,0,0,14,2,0,0,0.308,0.349,0.423,0.772
2023,김현준,14867,1001,CF,311,283,42,87,7,5,1,107,32,88,57,21,4,0,51,3,3,0,0.307,0.364,0.378,0.742
2023,알포드,15144,12001,LF,25,23,3,7,2,0,0,9,1,3,3,2,0,0,10,1,0,0,0.304,0.360,0.391,0.751
2023,김지찬,14618,1001,2B,146,119,25,35,2,0,0,37,7,41,29,22,2,0,14,0,3,0,0.294,0.413,0.311,0.724
2023,송성문,11376,10001,3B,35,31,6,9,1,0,1,13,4,8,12,4,0,0,2,0,0,0,0.290,0.371,0.419,0.790
2023,김민혁,11339,12001,CF,317,278,43,80,15,2,1,102,30,103,66,29,2,0,32,3,5,3,0.288,0.356,0.367,0.723
2023,김강민,10108,9002,CF,25,21,5,6,0,0,0,6,0,3,7,4,0,0,5,1,0,0,0.286,0.400,0.286,0.686
2023,이정후,12906,10001,CF,95,84,11,24,9,0,0,33,8,28,28,9,0,0,6,0,0,2,0.286,0.347,0.393,0.740
2023,문현빈,15422,7002,CF,138,124,19,35,9,1,1,49,15,39,30,7,2,1,23,3,2,3,0.282,0.324,0.395,0.719
2023,김상수,10320,12001,SS,101,87,19,24,1,0,3,34,10,29,22,12,0,0,13,2,1,1,0.276,0.360,0.391,0.751
2023,윤동희,15048,3001,RF,135,124,18,34,8,0,0,42,11,38,36,8,0,0,18,3,1,2,0.274,0.313,0.339,0.652
2023,강백호,13168,12001,RF,48,44,3,12,2,0,0,14,6,12,12,4,0,2,8,0,0,0,0.273,0.333,0.318,0.651
2023,정수빈,10195,6002,CF,519,447,70,119,10,11,2,157,31,167,106,55,7,0,57,2,8,2,0.266,0.354,0.351,0.705
2023,노수광,11268,7002,LF,67,53,5,14,5,0,0,19,4,9,11,11,0,0,21,1,1,2,0.264,0.379,0.358,0.737
2023,류지혁,10894,2002,3B,256,224,31,59,6,1,0,67,18,77,47,25,3,1,42,4,3,1,0.263,0.344,0.299,0.643
2023,안권수,14571,3001,LF,222,191,26,50,2,1,2,60,20,63,53,23,1,1,28,2,4,3,0.262,0.339,0.314,0.653
2023,이진영,12539,7002,RF,200,165,29,42,12,0,5,69,27,33,32,27,2,0,63,2,1,5,0.255,0.357,0.418,0.775
2023,추신수,14888,9002,DH,445,369,63,94,17,0,12,147,39,100,100,61,13,1,77,7,0,2,0.255,0.378,0.398,0.776
