year,bo,code,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,n_players
2023,1,1001,619,544,85,157,22,5,3,198,55,169,130,57,8,0,90,6,8,2,16
2023,1,2002,747,666,102,176,26,5,5,227,61,202,177,65,5,1,115,14,7,4,11
2023,1,3001,681,598,77,142,21,2,4,179,49,182,158,56,3,3,125,8,15,9,14
2023,1,5002,698,584,108,180,35,2,2,225,69,177,133,86,19,3,100,9,3,6,11
2023,1,6002,678,588,95,151,16,12,4,203,39,198,156,70,10,0,85,3,8,2,17
2023,1,7002,688,585,81,146,34,3,7,207,67,151,137,79,9,2,161,7,5,10,16
2023,1,9002,689,594,100,152,29,3,15,232,56,145,184,77,14,1,115,11,2,2,16
2023,1,10001,695,605,101,159,28,5,4,209,48,176,155,72,3,2,121,8,9,6,21
2023,1,11001,686,612,109,207,37,2,7,269,72,192,135,60,6,2,82,11,4,4,14
2023,1,12001,687,604,86,156,25,3,4,199,53,205,153,71,2,2,94,9,6,4,22
2023,2,1001,648,570,85,154,21,4,4,195,52,172,152,46,12,0,100,14,12,8,15
2023,2,2002,689,616,106,190,31,7,8,259,77,172,153,57,4,0,105,18,8,4,15
2023,2,3001,668,589,75,155,27,2,5,201,63,167,147,62,4,3,123,12,10,3,24
2023,2,5002,676,580,91,162,20,4,3,199,60,203,152,65,5,0,66,12,23,3,14
2023,2,6002,660,560,62,137,22,3,8,189,54,159,185,62,12,3,86,15,19,7,21
2023,2,7002,675,594,68,133,19,1,10,184,63,149,178,66,4,0,137,16,8,3,17
2023,2,9002,669,603,82,150,28,5,8,212,41,176,197,47,4,1,85,8,10,5,16
2023,2,10001,684,617,94,182,33,5,6,243,59,145,181,51,10,0,113,10,2,4,20
2023,2,11001,676,606,82,177,26,6,6,233,67,173,168,42,15,1,92,17,9,4,18
2023,2,12001,674,597,91,168,29,1,8,223,71,155,171,55,7,0,109,6,9,6,21
2023,3,1001,654,583,72,180,30,0,16,258,93,148,155,61,7,4,101,15,2,1,15
2023,3,2002,654,572,97,183,22,1,22,273,106,150,154,71,5,0,89,11,2,4,13
2023,3,3001,653,560,78,149,22,5,10,211,76,142,163,76,8,3,112,16,3,6,19
2023,3,5002,665,576,65,159,28,2,8,215,99,170,172,75,4,4,82,13,3,7,19
2023,3,6002,658,575,68,143,26,2,22,239,93,126,212,70,3,6,104,14,0,10,17
2023,3,7002,660,576,93,166,31,1,35,304,104,136,149,74,8,4,127,17,0,2,9
2023,3,9002,633,537,99,153,36,2,26,271,90,95,188,71,14,3,110,13,2,9,15
2023,3,10001,661,566,85,183,28,5,12,257,77,143,169,76,11,9,79,7,0,8,16
2023,3,11001,656,563,86,173,39,3,16,266,97,124,176,70,11,1,100,16,2,10,17
2023,3,12001,663,589,86,168,40,3,12,250,82,104,184,61,6,2,138,10,2,5,14
2023,4,1001,724,637,75,170,32,1,20,264,102,177,202,72,7,5,94,26,2,6,18
2023,4,2002,639,555,90,165,37,1,21,267,103,115,169,69,8,2,113,5,0,7,15
2023,4,3001,639,560,80,171,20,1,16,241,93,136,165,60,8,1,98,13,1,10,16
2023,4,5002,648,577,92,173,29,5,23,281,101,126,197,57,3,2,89,14,3,8,13
2023,4,6002,632,555,71,150,26,1,17,229,69,104,183,64,10,7,121,16,0,3,18
2023,4,7002,641,564,67,137,23,0,21,223,96,126,185,58,13,8,122,11,0,6,14
2023,4,9002,643,580,83,171,34,0,17,256,95,130,178,50,11,8,103,13,0,2,16
2023,4,10001,565,500,54,141,30,2,9,202,97,127,144,47,7,1,98,10,1,10,16
2023,4,11001,640,553,67,144,23,3,17,224,100,125,166,69,2,2,132,12,2,14,16
2023,4,12001,647,573,68,159,24,1,21,248,103,124,153,54,9,2,145,13,3,8,15
2023,5,1001,666,599,61,157,27,2,12,224,77,148,167,55,4,3,131,8,4,4,20
2023,5,2002,679,603,71,162,30,3,12,234,91,179,175,61,2,1,96,26,4,9,14
2023,5,3001,625,550,57,128,22,0,7,171,61,155,181,52,7,4,96,20,6,10,24
2023,5,5002,693,590,90,165,33,4,13,245,94,157,173,82,6,4,103,9,7,8,15
2023,5,6002,624,544,60,132,23,0,12,191,75,107,190,63,9,1,120,14,3,5,21
2023,5,7002,622,552,52,126,20,2,6,168,53,133,161,56,6,3,136,7,4,4,20
2023,5,9002,631,557,58,151,24,1,18,231,86,119,178,52,7,1,115,7,9,6,18
2023,5,10001,484,429,51,102,20,0,7,143,65,115,137,39,5,1,83,8,3,8,20
2023,5,11001,626,534,52,141,25,3,9,199,78,126,159,65,12,0,114,13,9,6,17
2023,5,12001,628,554,72,147,28,0,21,238,82,131,171,60,4,1,112,14,3,7,17
2023,6,1001,595,516,54,118,18,4,9,171,50,144,140,60,8,2,118,14,7,4,24
2023,6,2002,658,590,62,164,22,1,11,221,78,171,171,50,6,6,91,12,5,7,19
2023,6,3001,601,535,71,155,37,2,14,238,88,135,136,46,7,2,117,11,5,8,21
2023,6,5002,668,579,84,161,29,7,13,243,85,159,156,60,15,1,109,14,8,6,18
2023,6,6002,603,535,67,133,32,6,14,219,59,131,159,56,6,0,116,6,2,4,23
2023,6,7002,608,531,50,134,22,2,2,166,39,136,150,52,18,0,115,17,3,4,25
2023,6,9002,615,529,67,152,29,1,8,207,69,128,157,59,13,2,101,6,5,9,19
2023,6,10001,539,463,38,105,18,2,6,145,51,109,135,50,11,3,120,13,9,6,21
2023,6,11001,604,543,55,121,19,1,7,163,49,138,152,39,7,0,137,19,10,5,19
2023,6,12001,616,557,62,152,22,4,8,206,58,148,139,49,4,1,120,12,4,2,25
2023,7,1001,582,521,50,118,19,1,8,163,53,132,168,35,9,1,110,20,10,7,24
2023,7,2002,608,526,66,138,20,1,11,193,65,139,128,54,9,4,127,8,13,6,20
2023,7,3001,587,510,61,125,30,4,5,178,66,151,124,59,6,1,115,11,7,5,22
2023,7,5002,628,539,67,136,22,0,14,200,85,151,142,61,6,1,115,5,16,5,20
2023,7,6002,583,523,60,146,24,2,10,204,68,119,141,43,11,2,119,9,4,2,20
2023,7,7002,593,514,58,118,21,1,11,174,67,127,147,58,11,1,127,7,5,5,23
2023,7,9002,594,525,61,147,23,1,17,223,72,132,140,48,4,2,107,6,16,1,20
2023,7,10001,571,520,49,111,19,4,6,156,47,133,147,35,6,2,133,5,6,4,22
2023,7,11001,586,512,59,127,19,4,8,178,53,126,151,50,15,3,111,11,6,3,23
2023,7,12001,601,525,70,141,33,2,6,196,53,131,139,62,6,5,118,16,4,4,25
2023,8,1001,706,623,67,164,29,3,9,226,79,166,166,57,8,0,133,15,12,6,28
2023,8,2002,442,387,41,81,18,0,7,120,47,86,104,45,2,0,116,8,8,0,20
2023,8,3001,567,493,62,124,24,1,6,168,60,141,117,52,7,1,115,15,11,4,23
2023,8,5002,580,490,86,134,22,5,12,202,82,140,140,58,13,2,84,8,11,8,21
2023,8,6002,570,508,45,111,16,3,9,160,53,137,135,35,12,3,128,11,11,4,26
2023,8,7002,579,503,55,119,25,1,5,161,48,119,152,52,11,0,116,8,10,3,24
2023,8,9002,575,493,43,102,5,2,9,138,53,153,148,57,4,3,96,14,14,7,22
2023,8,10001,585,516,47,135,25,3,5,181,54,132,130,46,6,0,126,6,10,7,27
2023,8,11001,573,495,76,119,27,1,15,193,72,105,146,49,13,0,132,7,9,7,18
2023,8,12001,580,499,44,105,16,0,6,139,56,142,130,59,5,0,126,10,13,4,27
2023,9,1001,572,496,54,108,16,3,6,148,60,149,130,49,3,1,115,6,18,6,29
2023,9,2002,547,480,61,118,17,2,6,157,46,123,128,40,4,1,115,10,19,4,21
2023,9,3001,555,476,56,140,28,2,2,178,52,119,120,59,1,0,99,4,17,2,24
2023,9,5002,568,489,63,135,16,0,9,178,64,139,132,47,4,0,89,6,22,6,18
2023,9,6002,547,488,56,137,25,3,4,180,56,133,126,42,3,3,96,2,10,4,20
2023,9,7002,562,487,56,105,16,1,3,132,31,138,126,40,8,3,121,13,24,3,25
2023,9,9002,564,488,48,99,21,1,7,143,48,119,163,46,7,0,111,11,19,4,23
2023,9,10001,567,505,44,116,10,2,1,133,34,123,125,43,10,1,142,12,8,1,28
2023,9,11001,559,477,64,112,8,5,13,169,54,141,121,49,19,1,105,16,12,2,24
2023,9,12001,553,475,64,120,18,0,3,147,63,117,133,53,5,0,112,6,13,7,29
